time [s],voltage [V]
0.0,4.075973376164149
55.595907897217124,3.9899985340992186
111.19181579443425,3.9824910592437006
166.78772369165137,3.9766174334960462
222.3836315888685,3.96525210660262
277.9795394860856,3.9520684408817717
333.57544738330273,3.9364555831938057
389.1713552805199,3.9177591089110333
444.767263177737,3.897105522315886
500.3631710749541,3.87975033225169
555.9590789721713,3.8660681438087
611.5549868693884,3.85360840859506
667.1508947666055,3.8360555113862835
722.7468026638226,3.828149362957744
778.3427105610398,3.8143679876040166
833.9386184582569,3.803681231272846
889.534526355474,3.791245664528511
945.1304342526911,3.7787922792731714
1000.7263421499082,3.7627547584082244
1056.3222500471254,3.7462480251740597
1111.9181579443425,3.721177950599254
1167.5140658415596,3.7016613366715996
1223.1099737387767,3.6774549324034655
1278.7058816359938,3.659890530300389
1334.301789533211,3.6447040813006613
1389.897697430428,3.627311854755516
1445.4936053276451,3.6119655243984106
1501.0895132248625,3.5984666682371076
1556.6854211220796,3.587811310801482
1612.2813290192967,3.5780311919762298
1667.8772369165138,3.5654351405320974
1723.4731448137309,3.5571785739355457
1779.069052710948,3.5479061629194764
1834.664960608165,3.539997473594882
1890.2608685053822,3.5301235816126764
1945.8567764025993,3.5209515168554266
2001.4526842998164,3.509225152385294
2057.0485921970335,3.4992268929334944
2112.644500094251,3.4888333264866938
2168.2404079914677,3.478031493182704
2223.836315888685,3.4603057551737453
2279.432223785902,3.4504330420648732
2335.028131683119,3.4329146726168
2390.6240395803366,3.4146032718244763
2446.2199474775534,3.396387287537574
2501.8158553747708,3.3789107288516527
2557.4117632719876,3.3664126788487185
2613.007671169205,3.3513752171154634
2668.603579066422,3.3350160332232144
2724.199486963639,3.31564402969595
2779.795394860856,3.294971555468729
2835.3913027580734,3.273083129863777
2890.9872106552903,3.2567338313430314
2946.5831185525076,3.2071141271964367
3002.179026449725,3.1516225292232543
3057.774934346942,3.103387571095587
3113.370842244159,3.0490028517536336
3168.966750141376,2.9668208350239187
3224.5626580385933,2.880346138854481
3280.15856593581,2.798676594855921
