time [s],current [A]
0.0,3.0
1.0,3.2118138530690996
2.0,3.421171700694569
3.0,3.625660058459781
4.0,3.822949726502678
5.0,4.010836051560822
6.0,4.187276970342241
7.0,4.350428156618919
8.0,4.4986746461188085
9.0,4.630658376139675
10.0,4.745301149702406
11.0,4.841822615701733
12.0,4.9197529454419495
13.0,4.97893998057698
14.0,5.0195507261195935
15.0,5.042067163083208
16.0,5.047276456671086
17.0,5.03625573592326
18.0,5.0103517175867145
19.0,4.971155538960922
20.0,4.920473249947285
21.0,4.860292491972011
22.0,4.79274595947556
23.0,4.7200722970542515
24.0,4.6445751310766
25.0,4.568580967862533
26.0,4.49439671071396
27.0,4.424267554860047
28.0,4.360336012608878
29.0,4.304602800800003
30.0,4.258890289390036
31.0,4.224809164269606
32.0,4.203728900020697
33.0,4.196752570302947
34.0,4.20469644611963
35.0,4.228074746740665
36.0,4.267089816076545
37.0,4.321627900444915
38.0,4.391260603679025
39.0,4.475251994178891
40.0,4.572571237610321
41.0,4.681910530314428
42.0,4.801708013861333
43.0,4.93017526225495
44.0,5.065328851658227
45.0,5.205025449616558
46.0,5.346999797912415
47.0,5.488904911507701
48.0,5.628353776444458
49.0,5.762961802785614
50.0,5.8903892751634945
51.0,6.008383043506247
52.0,6.114816710030924
53.0,6.20772859538563
54.0,6.285356806413757
55.0,6.346170779694516
56.0,6.388898737863324
57.0,6.412550568611906
58.0,6.4164357179100815
59.0,6.4001757779226125
60.0,6.363711544727913
61.0,6.307304419592476
62.0,6.23153212845497
63.0,6.137278835626749
64.0,6.025719827712381
65.0,5.898301040610144
66.0,5.756713794440254
67.0,5.602865186725962
68.0,5.438844671594607
69.0,5.2668874207902405
70.0,5.08933511968249
71.0,4.908594897194105
72.0,4.727097121835636
73.0,4.547252816236581
74.0,4.371411449337426
75.0,4.2018198586357745
76.0,4.040583034682499
77.0,3.889627466761798
78.0,3.750667702954928
79.0,3.6251767203981
80.0,3.514360633524271
81.0,3.419138190640299
82.0,3.3401254237172378
83.0,3.277625724287423
84.0,3.2316255214892506
85.0,3.201795638307264
86.0,3.18749830070601
87.0,3.1877996734593887
88.0,3.2014876978337656
89.0,3.2270949116529835
90.0,3.2629258433454504
91.0,3.3070884899345794
92.0,3.3575293160408517
93.0,3.412071148117577
94.0,3.468453286464313
95.0,3.5243731179743567
96.0,3.5775284857820466
97.0,3.6256600584597796
98.0,3.6665929414151996
99.0,3.698276786655566
100.0,3.71882368387793
101.0,3.7265431554322426
102.0,3.7199736293833885
103.0,3.697909827745317
104.0,3.6594255798542763
105.0,3.603891652487927
106.0,3.5309882772659424
107.0,3.4407121504986726
108.0,3.3333777792947767
109.0,3.2096131486362696
110.0,3.070349785479429
111.0,2.916807395934103
112.0,2.7504733484275294
113.0,2.573077367743644
114.0,2.3865618903034225
115.0,2.1930486084907015
116.0,1.994801799849547
117.0,1.7941890943691936
118.0,1.5936403788073883
119.0,1.39560557026584
120.0,1.2025120114292502
121.0,1.016722246651455
122.0,0.8404929312976799
123.0,0.6759356065516471
124.0,0.5249800386309476
125.0,0.389340775616836
126.0,0.27048751771212975
127.0,0.1696198287169387
128.0,0.08764663907049808
129.0,0.025170905330519466
130.0,-0.01752030102587243
131.0,-0.04046009945144091
132.0,-0.0440004247966409
133.0,-0.02880499571653139
134.0,0.0041632467627767955
135.0,0.053660005651149034
136.0,0.11818247987470543
137.0,0.19599679319812857
138.0,0.28516951011587494
139.0,0.383602675743148
140.0,0.48907175388833757
141.0,0.5992657858076417
142.0,0.7118290525521991
143.0,0.8244034970244185
144.0,0.9346711483417735
145.0,1.0403957911040727
146.0,1.1394631356740494
147.0,1.22991877237023
148.0,1.3100032320568842
149.0,1.3781835272923422
150.0,-4.0
151.0,-4.0
152.0,-4.0
153.0,-4.0
154.0,-4.0
155.0,-4.0
156.0,-4.0
